crop_id,seed,fertilizer,labor,irrigation,pesticide,transport,equipment,total_per_ha
ampalaya,3500.0,22000.0,45000.0,8000.0,12000.0,9000.0,18000.0,117500.0
eggplant,3000.0,24000.0,42000.0,8000.0,13000.0,11000.0,9000.0,110000.0
okra,2500.0,16000.0,30000.0,6000.0,7000.0,7000.0,4000.0,72500.0
string_beans,4000.0,18000.0,34000.0,6000.0,8000.0,7000.0,12000.0,89000.0
tomato,5000.0,26000.0,40000.0,9000.0,15000.0,10000.0,8000.0,113000.0
corn,6000.0,18000.0,22000.0,5000.0,5000.0,8000.0,3000.0,67000.0
squash,3500.0,18000.0,28000.0,6000.0,8000.0,10000.0,4000.0,77500.0
pechay,2000.0,14000.0,24000.0,5000.0,5000.0,7000.0,2000.0,59000.0
